# Fractal dim =  1.000 
#           N     G/NpiR0^2            GC    Okuzumi+09     Paszun+09 
 5.051342e+03  8.390066e-01  1.000000e+00  6.664062e-01  7.270472e-01 
 5.338938e+03  8.389945e-01  1.000000e+00  6.637758e-01  7.265594e-01 
 5.642908e+03  8.389830e-01  1.000000e+00  6.611726e-01  7.260719e-01 
 5.964185e+03  8.389719e-01  1.000000e+00  6.585963e-01  7.255847e-01 
 6.303753e+03  8.389615e-01  1.000000e+00  6.560464e-01  7.250979e-01 
 6.662655e+03  8.389515e-01  1.000000e+00  6.535228e-01  7.246114e-01 
 7.041990e+03  8.389420e-01  1.000000e+00  6.510249e-01  7.241252e-01 
 7.442922e+03  8.389329e-01  1.000000e+00  6.485526e-01  7.236393e-01 
 7.866682e+03  8.389243e-01  1.000000e+00  6.461056e-01  7.231538e-01 
 8.314568e+03  8.389161e-01  1.000000e+00  6.436834e-01  7.226686e-01 
 8.787954e+03  8.389082e-01  1.000000e+00  6.412858e-01  7.221837e-01 
 9.288292e+03  8.389008e-01  1.000000e+00  6.389125e-01  7.216992e-01 
 9.817117e+03  8.388937e-01  1.000000e+00  6.365632e-01  7.212149e-01 
 1.037605e+04  8.388869e-01  1.000000e+00  6.342376e-01  7.207310e-01 
 1.096681e+04  8.388805e-01  1.000000e+00  6.319354e-01  7.202474e-01 
 1.159120e+04  8.388743e-01  1.000000e+00  6.296564e-01  7.197642e-01 
 1.225114e+04  8.388685e-01  1.000000e+00  6.274002e-01  7.192812e-01 
 1.294865e+04  8.388629e-01  1.000000e+00  6.251665e-01  7.187986e-01 
 1.368587e+04  8.388577e-01  1.000000e+00  6.229551e-01  7.183164e-01 
 1.446507e+04  8.388526e-01  1.000000e+00  6.207658e-01  7.178344e-01 
 1.528864e+04  8.388478e-01  1.000000e+00  6.185982e-01  7.173528e-01 
 1.615909e+04  8.388433e-01  1.000000e+00  6.164521e-01  7.168714e-01 
 1.707910e+04  8.388389e-01  1.000000e+00  6.143272e-01  7.163904e-01 
 1.805149e+04  8.388348e-01  1.000000e+00  6.122232e-01  7.159098e-01 
 1.907924e+04  8.388308e-01  1.000000e+00  6.101400e-01  7.154294e-01 
 2.016551e+04  8.388271e-01  1.000000e+00  6.080773e-01  7.149494e-01 
 2.131362e+04  8.388235e-01  1.000000e+00  6.060347e-01  7.144697e-01 
 2.252711e+04  8.388201e-01  1.000000e+00  6.040122e-01  7.139903e-01 
 2.380968e+04  8.388169e-01  1.000000e+00  6.020093e-01  7.135113e-01 
 2.516527e+04  8.388138e-01  1.000000e+00  6.000260e-01  7.130325e-01 
 2.659804e+04  8.388109e-01  1.000000e+00  5.980620e-01  7.125541e-01 
 2.811239e+04  8.388081e-01  1.000000e+00  5.961170e-01  7.120760e-01 
 2.971296e+04  8.388054e-01  1.000000e+00  5.941908e-01  7.115982e-01 
 3.140465e+04  8.388029e-01  1.000000e+00  5.922832e-01  7.111208e-01 
 3.319266e+04  8.388005e-01  1.000000e+00  5.903939e-01  7.106436e-01 
 3.508247e+04  8.387982e-01  1.000000e+00  5.885229e-01  7.101668e-01 
 3.707988e+04  8.387960e-01  1.000000e+00  5.866698e-01  7.096903e-01 
 3.919100e+04  8.387940e-01  1.000000e+00  5.848344e-01  7.092142e-01 
 4.142232e+04  8.387920e-01  1.000000e+00  5.830165e-01  7.087383e-01 
 4.378069e+04  8.387901e-01  1.000000e+00  5.812159e-01  7.082628e-01 
 4.627332e+04  8.387883e-01  1.000000e+00  5.794325e-01  7.077876e-01 
 4.890787e+04  8.387866e-01  1.000000e+00  5.776660e-01  7.073127e-01 
 5.169242e+04  8.387850e-01  1.000000e+00  5.759162e-01  7.068381e-01 
 5.463550e+04  8.387835e-01  1.000000e+00  5.741830e-01  7.063638e-01 
 5.774615e+04  8.387820e-01  1.000000e+00  5.724661e-01  7.058899e-01 
 6.103390e+04  8.387806e-01  1.000000e+00  5.707654e-01  7.054163e-01 
 6.450884e+04  8.387793e-01  1.000000e+00  5.690806e-01  7.049430e-01 
 6.818162e+04  8.387780e-01  1.000000e+00  5.674116e-01  7.044700e-01 
 7.206351e+04  8.387768e-01  1.000000e+00  5.657582e-01  7.039973e-01 
 7.616642e+04  8.387757e-01  1.000000e+00  5.641203e-01  7.035249e-01 
 8.050292e+04  8.387746e-01  1.000000e+00  5.624976e-01  7.030529e-01 
 8.508632e+04  8.387736e-01  1.000000e+00  5.608900e-01  7.025812e-01 
 8.993067e+04  8.387726e-01  1.000000e+00  5.592973e-01  7.021098e-01 
