#           N         Chain          BCCA          BPCA
 9.817117e+03  7.612796e-01  3.255940e-01  1.247830e-01
 1.037605e+04  7.612597e-01  3.239488e-01  1.225169e-01
 1.096681e+04  7.612409e-01  3.223232e-01  1.202909e-01
 1.159120e+04  7.612229e-01  3.207170e-01  1.181044e-01
 1.225114e+04  7.612057e-01  3.191298e-01  1.159566e-01
 1.294865e+04  7.611894e-01  3.175613e-01  1.138471e-01
 1.368587e+04  7.611738e-01  3.160112e-01  1.117751e-01
 1.446507e+04  7.611590e-01  3.144793e-01  1.097400e-01
 1.528864e+04  7.611448e-01  3.129653e-01  1.077412e-01
 1.615909e+04  7.611314e-01  3.114688e-01  1.057782e-01
 1.707910e+04  7.611185e-01  3.099897e-01  1.038503e-01
 1.805149e+04  7.611063e-01  3.085276e-01  1.019569e-01
 1.907924e+04  7.610947e-01  3.070824e-01  1.000975e-01
 2.016551e+04  7.610836e-01  3.056536e-01  9.827146e-02
 2.131362e+04  7.610731e-01  3.042412e-01  9.647824e-02
 2.252711e+04  7.610630e-01  3.028448e-01  9.471727e-02
 2.380968e+04  7.610534e-01  3.014643e-01  9.298802e-02
 2.516527e+04  7.610443e-01  3.000992e-01  9.128993e-02
 2.659804e+04  7.610356e-01  2.987496e-01  8.962247e-02
 2.811239e+04  7.610274e-01  2.974150e-01  8.798511e-02
 2.971296e+04  7.610195e-01  2.960953e-01  8.637734e-02
 3.140465e+04  7.610120e-01  2.947902e-01  8.479863e-02
 3.319266e+04  7.610048e-01  2.934996e-01  8.324850e-02
 3.508247e+04  7.609980e-01  2.922231e-01  8.172643e-02
 3.707988e+04  7.609916e-01  2.909607e-01  8.023193e-02
 3.919100e+04  7.609854e-01  2.897121e-01  7.876454e-02
 4.142232e+04  7.609795e-01  2.884771e-01  7.732376e-02
 4.378069e+04  7.609740e-01  2.872554e-01  7.590914e-02
 4.627332e+04  7.609686e-01  2.860470e-01  7.452021e-02
 4.890787e+04  7.609636e-01  2.848515e-01  7.315652e-02
 5.169242e+04  7.609588e-01  2.836689e-01  7.181762e-02
 5.463550e+04  7.609542e-01  2.824989e-01  7.050308e-02
 5.774615e+04  7.609498e-01  2.813414e-01  6.921246e-02
 6.103390e+04  7.609456e-01  2.801961e-01  6.794534e-02
 6.450884e+04  7.609417e-01  2.790628e-01  6.670130e-02
 6.818162e+04  7.609379e-01  2.779415e-01  6.547993e-02
 7.206351e+04  7.609343e-01  2.768320e-01  6.428082e-02
 7.616642e+04  7.609309e-01  2.757340e-01  6.310357e-02
 8.050292e+04  7.609277e-01  2.746474e-01  6.194781e-02
 8.508632e+04  7.609246e-01  2.735720e-01  6.081313e-02
 8.993067e+04  7.609216e-01  2.725077e-01  5.969916e-02
 9.505083e+04  7.609188e-01  2.714544e-01  5.860554e-02
 1.004625e+05  7.609162e-01  2.704118e-01  5.753188e-02
 1.061823e+05  7.609136e-01  2.693799e-01  5.647785e-02
 1.122277e+05  7.609112e-01  2.683584e-01  5.544307e-02
 1.186174e+05  7.609089e-01  2.673473e-01  5.442721e-02
 1.253708e+05  7.609068e-01  2.663463e-01  5.342992e-02
 1.325087e+05  7.609047e-01  2.653553e-01  5.245087e-02
 1.400531e+05  7.609027e-01  2.643743e-01  5.148973e-02
 1.480269e+05  7.609008e-01  2.634030e-01  5.054617e-02
 1.564548e+05  7.608990e-01  2.624414e-01  4.961987e-02
 1.653624e+05  7.608973e-01  2.614893e-01  4.871053e-02
 1.747773e+05  7.608957e-01  2.605465e-01  4.781783e-02
 1.847281e+05  7.608941e-01  2.596129e-01  4.694148e-02
 1.952456e+05  7.608927e-01  2.586885e-01  4.608117e-02
 2.063618e+05  7.608913e-01  2.577731e-01  4.523661e-02
 2.181109e+05  7.608899e-01  2.568665e-01  4.440752e-02
 2.305289e+05  7.608887e-01  2.559687e-01  4.359362e-02
 2.436540e+05  7.608875e-01  2.550795e-01  4.279463e-02
 2.575263e+05  7.608863e-01  2.541988e-01  4.201027e-02
 2.721885e+05  7.608852e-01  2.533266e-01  4.124029e-02
 2.876854e+05  7.608842e-01  2.524626e-01  4.048442e-02
 3.040646e+05  7.608832e-01  2.516068e-01  3.974240e-02
 3.213764e+05  7.608822e-01  2.507591e-01  3.901398e-02
 3.396739e+05  7.608813e-01  2.499193e-01  3.829891e-02
 3.590130e+05  7.608805e-01  2.490875e-01  3.759695e-02
 3.794533e+05  7.608797e-01  2.482633e-01  3.690786e-02
 4.010573e+05  7.608789e-01  2.474469e-01  3.623140e-02
 4.238913e+05  7.608782e-01  2.466379e-01  3.556735e-02
 4.480254e+05  7.608775e-01  2.458365e-01  3.491546e-02
 4.735335e+05  7.608768e-01  2.450424e-01  3.427554e-02
 5.004939e+05  7.608762e-01  2.442556e-01  3.364734e-02
 5.289893e+05  7.608756e-01  2.434760e-01  3.303067e-02
 5.591071e+05  7.608750e-01  2.427034e-01  3.242530e-02
 5.909396e+05  7.608744e-01  2.419379e-01  3.183104e-02
 6.245845e+05  7.608739e-01  2.411792e-01  3.124767e-02
 6.601449e+05  7.608734e-01  2.404274e-01  3.067501e-02
 6.977300e+05  7.608729e-01  2.396823e-01  3.011284e-02
 7.374549e+05  7.608725e-01  2.389439e-01  2.956099e-02
 7.794416e+05  7.608721e-01  2.382120e-01  2.901926e-02
 8.238187e+05  7.608716e-01  2.374866e-01  2.848746e-02
 8.707225e+05  7.608713e-01  2.367677e-01  2.796542e-02
 9.202967e+05  7.608709e-01  2.360550e-01  2.745295e-02
 9.726934e+05  7.608705e-01  2.353486e-01  2.694988e-02
 1.028073e+06  7.608702e-01  2.346483e-01  2.645604e-02
 1.086606e+06  7.608699e-01  2.339542e-01  2.597126e-02
 1.148472e+06  7.608696e-01  2.332661e-01  2.549537e-02
 1.213859e+06  7.608693e-01  2.325839e-01  2.502821e-02
 1.282970e+06  7.608690e-01  2.319076e-01  2.456961e-02
 1.356015e+06  7.608687e-01  2.312371e-01  2.411943e-02
 1.433219e+06  7.608685e-01  2.305723e-01  2.367751e-02
 1.514819e+06  7.608682e-01  2.299132e-01  2.324369e-02
 1.601064e+06  7.608680e-01  2.292597e-01  2.281782e-02
 1.692220e+06  7.608678e-01  2.286117e-01  2.239977e-02
 1.788566e+06  7.608675e-01  2.279692e-01  2.198939e-02
 1.890397e+06  7.608673e-01  2.273321e-01  2.158653e-02
 1.998026e+06  7.608672e-01  2.267003e-01  2.119106e-02
 2.111783e+06  7.608670e-01  2.260738e-01  2.080284e-02
 2.232016e+06  7.608668e-01  2.254525e-01  2.042174e-02
 2.359095e+06  7.608666e-01  2.248363e-01  2.004763e-02
 2.493409e+06  7.608665e-01  2.242253e-01  1.968039e-02
 2.635371e+06  7.608663e-01  2.236192e-01  1.931987e-02
 2.785414e+06  7.608662e-01  2.230182e-01  1.896597e-02
 2.944000e+06  7.608660e-01  2.224220e-01  1.861856e-02
 3.111616e+06  7.608659e-01  2.218307e-01  1.827752e-02
 3.288774e+06  7.608657e-01  2.212442e-01  1.794273e-02
 3.476019e+06  7.608656e-01  2.206625e-01  1.761408e-02
 3.673925e+06  7.608655e-01  2.200855e-01  1.729146e-02
 3.883098e+06  7.608654e-01  2.195131e-01  1.697475e-02
 4.104181e+06  7.608653e-01  2.189452e-01  1.666385e-02
 4.337850e+06  7.608652e-01  2.183820e-01  1.635865e-02
 4.584824e+06  7.608651e-01  2.178232e-01  1.605905e-02
 4.845859e+06  7.608650e-01  2.172688e-01  1.576494e-02
 5.121755e+06  7.608649e-01  2.167188e-01  1.547622e-02
 5.413360e+06  7.608648e-01  2.161732e-01  1.519279e-02
