#           N         Chain          BCCA          BPCA
 1.564548e+05  1.185435e+00  2.887674e+00  6.782993e+00
 1.653624e+05  1.185496e+00  2.899533e+00  6.875534e+00
 1.747773e+05  1.185555e+00  2.911510e+00  6.968451e+00
 1.847281e+05  1.185610e+00  2.923608e+00  7.061730e+00
 1.952456e+05  1.185663e+00  2.935827e+00  7.155359e+00
 2.063618e+05  1.185713e+00  2.948170e+00  7.249327e+00
 2.181109e+05  1.185761e+00  2.960637e+00  7.343622e+00
 2.305289e+05  1.185806e+00  2.973232e+00  7.438231e+00
 2.436540e+05  1.185850e+00  2.985955e+00  7.533143e+00
 2.575263e+05  1.185891e+00  2.998808e+00  7.628347e+00
 2.721885e+05  1.185931e+00  3.011793e+00  7.723832e+00
 2.876854e+05  1.185968e+00  3.024910e+00  7.819586e+00
 3.040646e+05  1.186004e+00  3.038161e+00  7.915599e+00
 3.213764e+05  1.186038e+00  3.051548e+00  8.011860e+00
 3.396739e+05  1.186071e+00  3.065071e+00  8.108359e+00
 3.590130e+05  1.186102e+00  3.078732e+00  8.205086e+00
 3.794533e+05  1.186131e+00  3.092532e+00  8.302030e+00
 4.010573e+05  1.186159e+00  3.106472e+00  8.399181e+00
 4.238913e+05  1.186186e+00  3.120553e+00  8.496530e+00
 4.480254e+05  1.186212e+00  3.134776e+00  8.594067e+00
 4.735335e+05  1.186236e+00  3.149142e+00  8.691783e+00
 5.004939e+05  1.186259e+00  3.163652e+00  8.789669e+00
 5.289893e+05  1.186282e+00  3.178306e+00  8.887715e+00
 5.591071e+05  1.186303e+00  3.193106e+00  8.985914e+00
 5.909396e+05  1.186323e+00  3.208052e+00  9.084255e+00
 6.245845e+05  1.186342e+00  3.223145e+00  9.182731e+00
 6.601449e+05  1.186361e+00  3.238385e+00  9.281333e+00
 6.977300e+05  1.186378e+00  3.253774e+00  9.380053e+00
 7.374549e+05  1.186395e+00  3.269311e+00  9.478884e+00
 7.794416e+05  1.186411e+00  3.284998e+00  9.577817e+00
 8.238187e+05  1.186426e+00  3.300834e+00  9.676844e+00
 8.707225e+05  1.186441e+00  3.316820e+00  9.775959e+00
 9.202967e+05  1.186455e+00  3.332957e+00  9.875153e+00
 9.726934e+05  1.186468e+00  3.349245e+00  9.974420e+00
 1.028073e+06  1.186481e+00  3.365684e+00  1.007375e+01
 1.086606e+06  1.186493e+00  3.382274e+00  1.017314e+01
 1.148472e+06  1.186505e+00  3.399017e+00  1.027259e+01
 1.213859e+06  1.186516e+00  3.415911e+00  1.037208e+01
 1.282970e+06  1.186527e+00  3.432958e+00  1.047161e+01
 1.356015e+06  1.186537e+00  3.450157e+00  1.057117e+01
 1.433219e+06  1.186547e+00  3.467508e+00  1.067075e+01
 1.514819e+06  1.186556e+00  3.485013e+00  1.077036e+01
 1.601064e+06  1.186565e+00  3.502669e+00  1.086999e+01
 1.692220e+06  1.186574e+00  3.520479e+00  1.096962e+01
